acidity,caffeine,aroma,texture,bitterness,sweetness,body,aftertaste,color,roast_level,quality_score,quality_label
4.061810178271044,1.0027220756865975,7.824368763361203,9.60851258469532,4.065437499231625,7.054326947880082,2.271011890358345,8.649633974528848,2.114614240352357,medium,4.583396333719911,low
4.9260714596148745,1.1343084068383504,1.2212822481292136,7.637575235131062,1.6454069996288592,8.170132574722352,6.137896751555286,2.766211450355491,1.6348207383366091,dark,4.226578230372232,low
4.5979909127171075,1.0124125811320963,1.1991119637609753,4.179262676518578,4.686660054057088,3.254211089132491,2.6674331984499133,2.129948109086294,9.18486553317289,dark,3.175698335998449,low
4.397987726295555,0.9064430405084668,3.912491972345871,3.668820231588897,3.800957455570542,6.6238668964629905,3.5077875680353277,9.671319527268947,2.7111588968683513,dark,4.19308875500292,low
3.7340279606636546,0.944763045320721,5.397788713641992,4.147329067712646,7.094085757615084,6.145713848293738,2.968388202912249,1.972401034387664,8.39125139103734,medium,3.5313189680422727,low
3.733991780504304,1.352934521639271,7.933666760270139,7.971881780630636,6.452013245074213,8.495473391094439,2.645540018819354,5.306419630964703,5.901677839964222,light,4.916643141015019,low
3.5871254182522994,1.047600462086951,7.149658389458547,6.95233549963373,4.28134355377786,9.154783544331345,8.431398564046003,6.270073559139717,1.7007086764789263,medium,4.7466353869206985,low
4.799264218662403,1.2371238332576906,5.013124357390735,2.6667601108072114,2.961032988294911,1.1094109432964814,3.571368108948013,5.872369788166944,9.599033722942607,medium,4.3138146389530405,low
4.401672517614813,1.4041007250258284,3.462639996534993,2.5669840180067593,9.892323695400327,7.066179271529134,9.344114036780043,1.7742894132964888,3.2226505029270327,dark,4.4048319646799525,low
4.562108866694068,1.6284737943552385,9.9741205014194,1.8855608474205758,5.086014590765034,1.4665221920775613,9.729338728106718,1.5132422260325744,8.73680810817346,light,3.3537188936762394,low
3.530876741443704,0.8471745678093188,4.835631720123756,6.942724477312043,7.194468122022133,5.939727985696203,6.1413442294338765,1.949350847149321,2.5192900520610775,medium,3.5870063798724754,low
4.9548647782429915,1.7592924786908513,5.062483218967079,7.8793539599956235,2.264976708205247,3.588694561393104,2.2870101039915376,6.270289154853512,8.685485939276676,dark,3.939057139390227,low
4.7486639612006325,1.5534804673890892,2.4726143907250226,3.385417854925036,5.37030729693458,3.760989395699271,4.370934190416231,5.89910398870889,1.1190593161476459,medium,3.7238783089108005,low
3.818508666017414,0.8981108383386464,8.153285938749365,1.1885046492782152,1.2478304788251893,4.176626531071209,8.179590370133926,3.1036671283306982,5.606024109125326,medium,2.705940514977979,low
3.772737450810651,1.8482943489281327,7.243140032033398,1.739545007287846,5.549096061194049,6.591632041446491,4.306516558273634,6.739967276610324,7.924983214794011,dark,4.525230019380846,low
3.775106764780151,1.9050468806381757,2.9869265150988435,9.710740313605275,9.67615666405932,4.006449691018923,1.7831549647250986,8.380607518500845,9.41315965743505,dark,3.6678713478909755,low
3.956363364439307,0.8732935518258366,1.7414294105425843,3.659002997296782,4.457860416872202,7.594291455312524,6.011064198353692,1.3742106386193438,9.182819225858383,light,3.511831366198675,low
